Driver,Score
sizeteam,388
salary_broader,239
employertype_Local_employer,132
ai_study_Yes__I_use_AI_tools_DAILY_for_study_,123
sitework_Mostly_work_from_home__fully_remote,123
datarole_Data_Analysis___Insights,121
sitework_Mostly_onsite,105
ai_work_Yes__I_use_AI_tools_DAILY_for_work_,93
how_long_in_salary_4_0,87
careerstg_Career_shifter___currently_working_in_a_non_data_related_role,86
how_long_in_salary_5_0,77
employertype_Foreign_employer,72
ai_work_Yes__I_use_AI_tools_MONTHLY_or_LESS_frequently_for_work_,48
shift_schedule_Night_shift,47
ai_study_No__but_I_plan_to_soon_,42
how_long_in_salary_2_0,39
datarole_Data_Processing___Entry,37
shift_schedule_Flexible,35
how_long_in_salary_1_0,33
datarole_Admin___Support_Role,28
