Driver,Score,AbsScore
sizeteam,0.19373432522472678,0.19373432522472678
salary_broader,0.6287273632879102,0.6287273632879102
have_comp_degree_Have comp or data degree,0.026902230002731967,0.026902230002731967
have_comp_degree_Not have,-0.026902230002731967,0.026902230002731967
careerstg_Career shifter - currently working in a non-data-related role,-0.34395242294287587,0.34395242294287587
careerstg_Freelance - working independently in a data-related role,0.1725351838246797,0.1725351838246797
careerstg_Government - employed in a data-related role in the public sector,0.2313851530237944,0.2313851530237944
careerstg_Professional - employed full-time in a data-related role,0.0992522564916991,0.0992522564916991
employertype_Foreign employer,0.1235297602795578,0.1235297602795578
employertype_Local employer,0.11884072493727393,0.11884072493727393
employertype_Multinational employer,0.040688375775640905,0.040688375775640905
employertype_Public service,-0.09710701291248196,0.09710701291248196
typework_Contract fixed timeline,-0.08127502604912262,0.08127502604912262
typework_Freelance,-0.1704359858992259,0.1704359858992259
typework_Full-time,-0.09458534408304851,0.09458534408304851
sitework_Hybrid,0.6376689421522527,0.6376689421522527
sitework_Mostly onsite,0.4906896815505463,0.4906896815505463
sitework_Mostly work from home/ fully remote,0.7934361820511583,0.7934361820511583
how_long_in_salary_1.0,0.07218069606045012,0.07218069606045012
how_long_in_salary_2.0,0.028841735538981,0.028841735538981
how_long_in_salary_3.0,-0.028794676356257556,0.028794676356257556
how_long_in_salary_4.0,-0.0777154573756286,0.0777154573756286
how_long_in_salary_5.0,-0.14414188900116623,0.14414188900116623
shift_schedule_Day shift,0.0690404780287496,0.0690404780287496
shift_schedule_Flexible,0.11735802624436875,0.11735802624436875
shift_schedule_Mid shift,-0.08641864627961658,0.08641864627961658
shift_schedule_Night shift,-0.1336432272254587,0.1336432272254587
shift_schedule_Not Applicable,0.01596431095820091,0.01596431095820091
datarole_Admin & Support Role,-0.07579087855690739,0.07579087855690739
datarole_Data Analysis & Insights,0.13554399718744742,0.13554399718744742
datarole_Data Engineering,0.054223455496652265,0.054223455496652265
datarole_Data Processing & Entry,-0.10411186536431412,0.10411186536431412
datarole_Software Engineering,-0.008322882301469726,0.008322882301469726
datarole_Technical Support & It Operations,0.011024426577350092,0.011024426577350092
side_gig_No side gig p12m,-0.06290947291627037,0.06290947291627037
side_gig_Side gig p12m,0.0629094729162702,0.0629094729162702
"ai_work_No, but I plan to soon.",0.17714389247210852,0.17714389247210852
"ai_work_Yes, I use AI tools DAILY for work.",0.16070731577182176,0.16070731577182176
"ai_work_Yes, I use AI tools MONTHLY or LESS frequently for work.",-0.09615039296140966,0.09615039296140966
"ai_work_Yes, I use AI tools WEEKLY for work.",0.12996386471811647,0.12996386471811647
"ai_study_No, but I plan to soon.",-0.27393500031927276,0.27393500031927276
"ai_study_Yes, I use AI tools DAILY for study.",-0.02508664901697524,0.02508664901697524
"ai_study_Yes, I use AI tools MONTHLY or LESS frequently for study.",-0.09405484716939319,0.09405484716939319
"ai_study_Yes, I use AI tools WEEKLY for study",-0.12369363711042515,0.12369363711042515
