,RF,LR,Lasso
careerstg_Career shifter - currently working in a non-data-related role,0.57,0.13,0.46
salary_broader,0.49,0.53,0.44
sizeteam,0.13,0.26,0.09
"ai_study_Yes, I use AI tools DAILY for study.",0.1,0.06,0.03
sitework_Mostly work from home/ fully remote,0.09,0.62,0.07
"ai_work_Yes, I use AI tools MONTHLY or LESS frequently for work.",0.09,0.06,0.12
sitework_Mostly onsite,0.07,0.37,0.02
how_long_in_salary_4.0,0.07,0.12,0.0
datarole_Admin & Support Role,0.06,0.02,0.0
"ai_work_Yes, I use AI tools DAILY for work.",0.06,0.37,0.0
how_long_in_salary_5.0,0.06,0.1,0.02
shift_schedule_Night shift,0.05,0.04,0.05
"ai_study_No, but I plan to soon.",0.05,0.06,0.07
employertype_Local employer,0.04,0.0,0.0
how_long_in_salary_1.0,0.04,0.04,0.0
employertype_Foreign employer,0.04,0.0,0.0
shift_schedule_Flexible,0.04,0.02,0.04
how_long_in_salary_2.0,0.04,0.04,0.0
datarole_Data Analysis & Insights,0.03,0.02,0.02
datarole_Data Processing & Entry,0.03,0.02,0.0
have_comp_degree_Have comp or data degree,0.03,0.01,0.0
side_gig_Side gig p12m,0.03,0.02,0.0
side_gig_No side gig p12m,0.03,0.02,0.01
employertype_Multinational employer,0.03,0.04,0.0
shift_schedule_Day shift,0.02,0.03,0.0
how_long_in_salary_3.0,0.02,0.08,0.0
typework_Full-time,0.02,0.07,0.0
employertype_Public service,0.02,0.02,0.0
typework_Freelance,0.02,0.04,0.0
sitework_Hybrid,0.02,0.45,0.0
have_comp_degree_Not have,0.02,0.01,0.0
"ai_work_Yes, I use AI tools WEEKLY for work.",0.02,0.16,0.0
datarole_Engineering,0.02,0.01,0.0
"ai_work_No, but I plan to soon.",0.02,0.08,0.0
datarole_Research,0.02,0.0,0.0
datarole_Data Engineering,0.02,0.0,0.0
"ai_study_Yes, I use AI tools WEEKLY for study",0.02,0.07,0.0
shift_schedule_Mid shift,0.02,0.01,0.0
shift_schedule_Not Applicable,0.01,0.0,0.0
careerstg_Professional - employed full-time in a data-related role,0.01,0.05,0.0
careerstg_Freelance - working independently in a data-related role,0.01,0.02,0.0
datarole_Technical Support & It Operations,0.01,0.0,0.0
datarole_Software Engineering,0.01,0.0,0.0
typework_Contract fixed timeline,0.01,0.02,0.0
employertype_I'm self-employed,0.01,0.0,0.0
how_long_in_salary_6.0,0.01,0.01,0.0
how_long_in_salary_7.0,0.01,0.0,0.0
"ai_study_No, and I don't plan to.",0.01,0.0,0.0
"ai_work_No, and I don't plan to.",0.01,0.01,0.0
"ai_study_Yes, I use AI tools MONTHLY or LESS frequently for study.",0.01,0.03,0.0
datarole_Management & Leadership,0.01,0.01,0.0
datarole_Data Science,0.01,0.0,0.0
datarole_Consulting & Freelance,0.01,0.01,0.03
datarole_Customer Service & Operations,0.01,0.0,0.0
employertype_I'm an entrepreneur,0.0,0.0,0.0
typework_Part-time,0.0,0.0,0.0
typework_Internship,0.0,0.0,0.0
careerstg_Government - employed in a data-related role in the public sector,0.0,0.03,0.0
datarole_Content Related,0.0,0.0,0.0
datarole_Marketing & Sales,0.0,0.0,0.0
datarole_Legal & Public Affairs,0.0,0.0,0.0
datarole_Education & Learning,0.0,0.0,0.0
datarole_Not Applicable,0.0,0.0,0.0
